repo, support, full_support
carlo.git, 14655, 21039
axios.git, 27907, 32022
node.git, 860688, 970096
meteor.git, 533318, 664151
create-react-app.git, 15424, 20879
react.git, 586383, 647267
jquery.git, 170331, 190616
webpack.git, 634392, 688526
react-native.git, 512289, 611603
reveal.js.git, 51247, 60149
telescope.git, 1329, 2098
citgm.git, 24935, 29853
evergreen.git, 140268, 177587
redux.git, 20639, 31057
storybook.git, 97855, 115127
