repo, precision
telescope.git, 0.968
create-react-app.git, 0.925
react.git, 0.952
node.git, 0.974
reveal.js.git, 0.920
axios.git, 0.985
evergreen.git, 0.908
redux.git, 0.898
citgm.git, 0.945
carlo.git, 0.951
webpack.git, 0.934
react-native.git, 0.964
jquery.git, 0.963
storybook.git, 0.940
meteor.git, 0.945
