class, subclass, source, intuition, cite, title, authors, venue, year, doi, selected projects, notes
"INCOMPATIBLE", "", "", "??", "Abdellatif:2020:MSR", "Challenges in Chatbot Development: A Study of Stack Overflow Posts", "Ahmad Abdellatif and Diego Costa and Khaled Badran and Rabe Abdalkareem and Emad Shihab", "MSR", "2020", "10.1145/3379597.3387472", , "StackOverflow post analysis."
"STARS", "DIVERSITY", "GitHub", "??", "Sousa:2020:MSR", "Characterizing and Identifying Composite Refactorings: Concepts, Heuristics and Patterns", "Leonardo Da Silva Sousa and Diego Cedrim and Alessandro Garcia and Willian Oizumi and Ana Carla Bibiano and Daniel Oliveira and Miryung Kim and Anderson Oliveira", "MSR", "2020", "10.1145/3379597.3387477", 48, "48 projects
90%+ Java code
has issue tracking 
stars: different levels of popularity (stratified sampling?)
Projects selected based on related studies to have a diversity of structure, domain, size, and popularity."
"FILTER ", "size", "GitHub", "??", "Borrelli:2020:MSR", "Detecting Video Game-Specific Bad Smells in Unity Projects", "Antonio Borrelli and Vittoria Nardone and Giuseppe Di Lucca and Gerardo Canfora and Massimiliano Di Penta", "MSR", "2020", "10.1145/3379597.3387454", 100, "100 projects
100 largest projects that have “Game in Unity"" in their descriptions"
"EVERYTHING", "", "World of Code", "??", "Dey:2020:MSR", "Detecting and Characterizing Bots that Commit Code", "Tapajit Dey and Sara Mousavi and Eduardo Ponce and Tanner Fry and Bogdan Vasilescu and Anna Filippova and Audris Mockus", "MSR", "2020", "10.1145/3379597.3387478", 73000000, "73M projects from World of code dataset
everything
No specific reason given for selection of WoC"
"RANDOM SAMPLE", "", "collection of organizations", "??", "Pecorelli:2020:MSR", "Developer-Driven Code Smell Prioritization", "Fabiano Pecorelli and Fabio Palomba and Foutse Khomh and Andrea De Lucia", "MSR", "2020", "10.1145/3379597.3387457 ", 9, "9 projects from 2576 projects belonging to Apache and Eclipse
Belong to Apache and Eclipse, Java projects, 500+ classes, 5+ years lifespan, 1K+ commits, 20+ contributors, randomly select 9 (from 682)
Java: best tooling for smell detection and analysis
Diversity of domain, longevity, activity, and populations."
"RANDOM SAMPLE", "", "GHTorrent and Reaper", "??", "Gonzalez:2020:MSR", "Did You Remember To Test Your Tokens?", "Danielle Gonzalez and Michael Rath and Mehdi Mirakhorli", "MSR", "2020", "10.1145/3379597.3387471", 53, "53 projects.
Random sample of 100K Java projects from GH (from GHT and Reaper). 
Removed: empty, duplicates, inactive (no recent push), projects without unit tests, JHipster projects, projects not using Spring Security authentication.
Forks replaced with originals."
"STARS", "TOP", "another paper", "??", "Compton:2020:MSR", "Embedding Java Classes with code2vec: Improvements from Variable Obfuscation", "Rhys Compton and Eibe Frank and Panos Patros and Abigail Koay", "MSR", "2020", "10.1145/3379597.3387445", 9500, "Uses java-large, from https://arxiv.org/pdf/1808.01400.pdf
9.5K top-starred Java projects collected since Jan 2007 (presumably until 2019)."
"DOMAIN", "", "TravisListener", "??", "Durieux:2020:MSR", "Empirical Study of Restarted and Flaky Builds on Travis CI", "Thomas Durieux and Claire Le Goues and Michael Hilton and Rui Abreu", "MSR", "2020", "10.1145/3379597.3387460", 171057, "171,057 projects from GH/TravisListener for 40 days starting from Oct 2019.
Using Travis CI.
Diversity of projects and languages."
"INCOMPATIBLE", "", "", "??", "Gold:2020:MSR", "Ethical Mining – A Case Study on MSR Mining Challenges", "Nicolas Gold and Jens Krinke", "MSR", "2020", "10.1145/3379597.3387462", , "metastudy"
"EVERYTHING", "", "Software Heritage Graph and GHTorrent", "??", "Pietri:2020:MSR", "Forking Without Clicking: on How to Identify Software Repository Forks", "Antoine Pietri and Guillaume Rousseau and Stefano Zacchiroli", "MSR", "2020", "10.1145/3379597.3387450", 41490000, "41.49M non-empty repositories appearing in both Software Heritage Graph and GHTorrent."
