class, subclass, source, intuition, cite, title, authors, venue, year, doi, selected projects, notes
"TOOL", "", "", "??", "Kovalenko:2019:MSR", "PathMiner : A Library for Mining of Path-Based Representations of Code", "Vladimir Kovalenko and Egor Bogomolov and Timofey Bryksin and Alberto Bacchelli", "MSR", "2019", "10.1109/MSR.2019.00013", , "a tool"
"DOMAIN", "", "GitHub Search", "??", "Yang:2019:MSR", "Predicting Co-Changes between Functionality Specifications and Source Code in Behavior Driven Development", "Aidan Z.H. Yang and Daniel Alencar Da Costa and Ying Zou", "MSR", "2019", "10.1109/MSR.2019.00080", 133, "133 projects
Java projects from Github Search API that contain a .feature file
2+ commits on .feature file (indicative of actually using .feature)
commit messages and status data are in English"
"RANDOM SAMPLE", "", "GitHub IDs", "??", "Treude:2019:MSR", "Predicting Good Configurations for GitHub and Stack Overflow Topic Models", "Christoph Treude and Markus Wagner ", "MSR", "2019", "10.1109/MSR.2019.00022", 40000, "8 * 5000 projects
language in C, C++, CSS, HTML, Java JavaScript, Python, Ruby
random project (from projects with id 0-120M, which is all projects)
contains README file with 100+ characters, does not contain non ASCII characters"
"CURATED", "", "", "??", "Júnior:2019:MSR", "Recommending Energy-Efficient Java Collections", "Wellington de Oliveira Júnior and Renato Santos and Fernando Castor and José Benito Fernandes De Araújo Neto and Gustavo Pinto", "MSR", "2019", "10.1109/MSR.2019.00033", 12, "12 projects
Barbecue, Battlecry, JodaTime, TomCat, Twfbplayer, Xalan, Xisemele, FastSearch, PasswordGen, Apache commons Math, Google Gson, XStream."
"UNKNOWN", "", "GitHub", "??", "Akbar:2019:MSR", "SCOR: Source Code Retrieval With Semantics and Order", "Shayan Akbar and Avinash Kak", "MSR", "2019", "10.1109/MSR.2019.00012", 35000, "35000 projects
approximately 35000 Java Source code repositories"
"TOOL", "", "", "??", "Chren:2019:MSR", "STRAIT: A Tool for Automated Software Reliability Growth Analysis", "Stanislav Chren and Radoslav Micko and Barbora Buhnova and Bruno Rossi", "MSR", "2019", "10.1109/MSR.2019.00025", , "a tool with some analysis happening, but there isn't a dataset described for the analysis"
"UNKNOWN", "", "GitHub", "??", "Owhadi-Kareshk:2019:MSR", "Scalable Software Merging Studies with MERGANSER", "Moein Owhadi-Kareshk and Sarah Nadi", "MSR", "2019", "10.1109/MSR.2019.00084", 744, "744 projects
unknown criteria
mostly a tool though, but it does do an experiment, so i'll count it as an experiment"
"RANDOM SAMPLE", "", "organization", "??", "Ahluwalia:2019:MSR", "Snoring: a Noise in Defect Prediction Datasets", "Aalok Ahluwalia and Davide Falessi and Massimiliano Di Penta", "MSR", "2019", "10.1109/MSR.2019.00019", 6, "6 projects
Apache SF
10+ releases, JIRA, most commits are related to Java code
then: random sample 4
+ two hand picked: Lucene and Jackrabbit
avoid using toy projects, expecting higher quality of defect annotation"
"DOMAIN", "", "GitHub", "??", "Matos:2019:MSR", "Splitting APIs: An Exploratory Study of Software Unbundling", "Anderson Severo de Matos and João Bosco Ferreira Filho and Lincoln Souza Rocha", "MSR", "2019", "10.1109/MSR.2019.00062", 71000, "71000 projects
select 10 APIs, find GH projects that use these APIs"
"INCOMPATIBLE", "", "", "??", "Kotti:2019:MSR", "Standing on Shoulders or Feet? The Usage of the MSR Data Papers", "Zoe Kotti and Diomidis Spinellis", "MSR", "2019", "10.1109/MSR.2019.00085", , "metastudy of MSR"
"DOMAIN", "", "website", "??", "Trockman:2019:MSR", "Striking Gold in Software Repositories? An Econometric Study of Cryptocurrencies on GitHub", "Asher Trockman and Rijnard van Tonder and Bogdan Vasilescu", "MSR", "2019", "10.1109/MSR.2019.00036", 241, "241 projects from CoinMarketCap withh GH repos
cryptocurrency projects"
"STARS", "UNKNOWN", "", "??", "Zhai:2019:MSR", "Test Coverage in Python Programs", "Hongyu Zhai and Casey Casalnuovo and Prem Devanbu", "MSR", "2019", "10.1109/MSR.2019.00027", 5, "5 projects
authors mention that these all have 5K stars among a lot of other conditions
This is a matter of interpretation, but after going back and forth I'm going to assume that stars played some sort of role in selection, even if this role is not specifically defined"
"INCOMPATIBLE", "", "", "??", "Soto-Valero:2019:MSR", "The Emergence of Software Diversity in Maven Central", "César Soto-Valero and Amine Benelallam and Nicolas Harrand and Olivier Barais and Benoit Baudry", "MSR", "2019", "10.1109/MSR.2019.00059", , "maven libraries, versions, dependencies"
"CURATED", "", "", "??", "Funaki:2019:MSR", "The Impact of Systematic Edits in History Slicing", "Ryosuke Funaki and Shinpei Hayashi and Motoshi Saeki", "MSR", "2019", "10.1109/MSR.2019.00083", 2, "2 projects
commons collections and commons net"
"FILTER ", "developers", "website", "??", "Habchi:2019:MSR", "The Rise of Android Code Smells: Who Is to Blame?", "Sarra Habchi and Romain Rouvoy and Naouel Moha", "MSR", "2019", "10.1109/MSR.2019.00071", 324, "324 projects
projects from FDroid
2+ developers"
"INCOMPATIBLE", "", "", "??", "Mitropoulos:2019:MSR", "Time Present and Time Past: Analyzing the Evolution of JavaScript Code in the Wild", "Dimitris Mitropoulos and Panos Louridas and Vitalis Salis and Diomidis Spinellis", "MSR", "2019", "10.1109/MSR.2019.00029", , "website analysis over time"
"INCOMPATIBLE", "", "", "??", "Schipper:2019:MSR", "Tracing Back Log Data to its Log Statement: From Research to Practice", "Daan Schipper and Maurício Aniche and Arie van Deursen", "MSR", "2019", "10.1109/MSR.2019.00081", , "log analysis from a single? system"
"TOOL", "", "", "??", "Ma:2019:MSR", "World of Code: An Infrastructure for Mining the Universe of Open Source VCS Data", "Yuxing Ma and Christopher Bogart and Sadika Amreen and Russell Zaretzki and Audris Mockus", "MSR", "2019", "10.1109/MSR.2019.00031", , "a tool"
"TOOL", "", "", "??", "Gote:2019:MSR", "git2net - Mining Time-Stamped Co-Editing Networks from Large git Repositories", "Christoph Gote and Ingo Scholtes and Frank Schweitzer", "MSR", "2019", "10.1109/MSR.2019.00070", , "a tool, with an analysis of two projects"
"STARS", "TOP", "GitHub", "??", "Markovtsev:2019:MSR", "style-analyzer: fixing code style inconsistencies with interpretable unsupervised algorithms", "Vadim Markovtsev and Hugo Mougard and Waren Long and Egor Bulychev and Konstantin Slavnov", "MSR", "2019", "10.1109/MSR.2019.00073", 19, "19 projects
top starred from January 2019
JavaScript is main language
diversity of sizes
a tool using 19 top starred repositories to evaluate their tool "
