project_id,year,chain_length,frequency
107979,2010,1,166
107979,2010,2,9
775955,2010,1,2256
775955,2010,2,100
775955,2010,3,4
775955,2010,6,14
775955,2010,7,5
765092,2010,1,488
765092,2010,2,29
765092,2010,3,1
954463,2010,1,14957
954463,2010,2,1422
954463,2010,3,88
954463,2010,4,9
954463,2010,5,1
766399,2010,1,1492
766399,2010,2,50
766399,2010,3,15
766399,2010,4,1
766399,2010,5,1
805513,2010,1,99997
805513,2010,2,2006
805513,2010,3,243
805513,2010,4,49
805513,2010,5,22
805513,2010,6,6
805513,2010,7,8
805513,2010,8,1
805513,2010,9,10
805513,2010,10,2
805513,2010,48,1
765165,2010,1,1031
765165,2010,2,23
765165,2010,3,2
14,2010,1,8516
14,2010,2,757
14,2010,3,641
14,2010,4,6
14,2010,5,3
49131,2010,1,1630
49131,2010,2,43
16,2010,1,238
16,2010,2,8
763860,2010,1,7860
763860,2010,2,163
763860,2010,3,19
763860,2010,4,1
770796,2010,1,8739
770796,2010,2,154
770796,2010,3,13
770796,2010,4,2
32688,2010,1,99
32688,2010,2,8
853431,2010,1,1476
853431,2010,2,43
853431,2010,3,8
853431,2010,5,1
853431,2010,6,3
763947,2010,1,891
763947,2010,2,52
763947,2010,3,21
61828,2010,1,1723
61828,2010,2,13
742641,2010,1,1600
742641,2010,2,233
742641,2010,3,4
742641,2010,4,2
753080,2010,1,224
753080,2010,2,6
767659,2010,1,15026
767659,2010,2,348
767659,2010,3,31
767659,2010,4,8
767659,2010,5,2
740716,2010,1,53
762888,2010,1,12454
762888,2010,2,198
762888,2010,3,36
762888,2010,4,24
762888,2010,5,13
762888,2010,6,16
762888,2010,7,3
762888,2010,8,4
762888,2010,9,5
762888,2010,11,2
762888,2010,12,1
762888,2010,15,2
762888,2010,19,1
762888,2010,20,2
762888,2010,23,1
762888,2010,27,1
799391,2010,1,668
799391,2010,2,21
742506,2010,1,12702
742506,2010,2,461
742506,2010,3,27
742506,2010,4,1
742506,2010,5,3
932188,2010,1,21746
932188,2010,2,1618
932188,2010,3,154
932188,2010,4,16
932188,2010,5,4
