project_id,year,chain_length,frequency
749424,2018,1,234
749424,2018,2,1
2,2018,1,589354
2,2018,2,29819
2,2018,3,4376
2,2018,4,1439
2,2018,5,450
2,2018,6,176
2,2018,7,58
2,2018,8,21
2,2018,9,20
2,2018,10,13
2,2018,11,40
2,2018,12,5
2,2018,13,2
2,2018,14,2
2,2018,15,3
2,2018,16,7
2,2018,17,3
2,2018,18,1
2,2018,22,1
2,2018,24,1
2,2018,25,2
2,2018,29,1
2,2018,32,1
2,2018,33,1
2,2018,34,1
2,2018,58,1
2,2018,277,1
700740,2018,1,204
700740,2018,2,16
700740,2018,4,2
727300,2018,1,21
1018139,2018,1,28905
1018139,2018,2,1571
1018139,2018,3,125
1018139,2018,4,32
1018139,2018,5,13
1018139,2018,6,7
1018139,2018,7,2
1018139,2018,8,3
1018139,2018,10,3
1019778,2018,1,3293
1019778,2018,2,159
1019778,2018,3,14
1019778,2018,4,6
1019778,2018,5,1
956748,2018,1,1349
956748,2018,2,31
956748,2018,3,1
851875,2018,1,14158
851875,2018,2,131
851875,2018,3,26
851875,2018,4,11
851875,2018,5,1
906805,2018,1,123
906805,2018,2,2
370253,2018,1,24
1072298,2018,1,10
842977,2018,1,26088
842977,2018,2,573
842977,2018,3,71
842977,2018,4,5
842977,2018,5,2
842977,2018,6,1
842977,2018,9,2
842977,2018,10,1
842977,2018,15,2
842977,2018,21,1
842977,2018,23,1
340121,2018,1,39
340121,2018,2,2
139648,2018,1,374
139648,2018,2,3
1064051,2018,1,9
1064051,2018,2,1
1027891,2018,1,36975
1027891,2018,2,969
1027891,2018,3,187
1027891,2018,4,5
1027891,2018,5,4
1027891,2018,6,5
1027891,2018,7,3
1027891,2018,8,2
860610,2018,1,56
860610,2018,2,1
1059986,2018,1,3619
1059986,2018,2,220
1059986,2018,3,36
1059986,2018,4,6
1059986,2018,5,2
1059986,2018,6,6
863224,2018,1,1245
863224,2018,2,66
863224,2018,3,6
863224,2018,4,2
1055568,2018,1,8
554,2018,1,2690
554,2018,2,142
554,2018,3,13
962090,2018,1,2682
962090,2018,2,134
962090,2018,3,6
962090,2018,5,3
962090,2018,6,2
495649,2018,1,3
955244,2018,1,4583
955244,2018,2,210
955244,2018,3,36
955244,2018,4,13
955244,2018,5,3
955244,2018,6,4
