repo, precision
node, 0.963
webpack, 0.947
telescope, 0.826
express, 0.958
create-react-app, 0.914
reveal.js, 0.954
carlo, 0.947
react, 0.964
meteor, 0.915
freeCodeCamp, 0.929
axios, 0.966
atom, 0.960
jquery, 0.969
evergreen, 0.925
citgm, 0.917
30-seconds-of-code, 0.973
react-native, 0.933
core-js, 0.982
storybook, 0.957
redux, 0.925
