repo, support, full_support
qgis-webappbuilder-plugin.git, 17580, 25519
react-video-recorder.git, 1140, 5700
biggeo.git, 12146, 18769
forum-app-project2.git, 194, 7034
arbre-de-lespoir.git, 1782, 3640
book-store.git, 480, 9641
jirascope.git, 5874, 10950
core.git, 3406, 6981
prizey-web.git, 25179, 32382
gatsby-starter-netlify-cms.git, 5665, 9083
sharingweb-react.git, 13360, 19538
phantom-blue.git, 13692, 21312
grace-chopper.git, 6803, 12109
map-state-to-props-lab-nyc-web-082619.git, 243, 1621
magicmirror.git, 34873, 52715
campsiter.git, 12818, 25349
wohindasleben.git, 5665, 9083
wandex-front-end.git, 52779, 72501
gitforteams.git, 17344, 37030
rona-v2.git, 463, 6966
2019fall_42class_team1.git, 35508, 44367
serverless-wsgi.git, 16360, 20206
necsus.git, 1313, 3027
arc-dao-stack.git, 59707, 71726
whats-new-in-python3.git, 30632, 47209
uop-backend.git, 5348, 7612
sudoslider.git, 18429, 21406
