repo, precision
book-store.git, 0.685
biggeo.git, 0.837
campsiter.git, 0.935
gatsby-starter-netlify-cms.git, 0.916
sharingweb-react.git, 0.956
react-video-recorder.git, 0.907
rona-v2.git, 0.957
uop-backend.git, 0.901
wandex-front-end.git, 0.917
map-state-to-props-lab-nyc-web-082619.git, 0.868
grace-chopper.git, 0.848
qgis-webappbuilder-plugin.git, 0.967
jirascope.git, 0.931
whats-new-in-python3.git, 0.930
prizey-web.git, 0.911
wohindasleben.git, 0.916
2019fall_42class_team1.git, 0.925
arc-dao-stack.git, 0.939
phantom-blue.git, 0.867
serverless-wsgi.git, 0.900
core.git, 0.814
forum-app-project2.git, 0.841
arbre-de-lespoir.git, 0.717
necsus.git, 0.868
sudoslider.git, 0.944
magicmirror.git, 0.956
gitforteams.git, 0.896
