url,locs
"https://github.com/ibm/plex.git",11749
"https://github.com/mxflutter/mxflutter.git",17996
"https://github.com/startbootstrap/startbootstrap-clean-blog.git",3396
"https://github.com/startbootstrap/startbootstrap-grayscale.git",3100
"https://github.com/tlbootcamp/tlroadmap.git",477
"https://github.com/3521woj/inori-bot.git",731902
"https://github.com/absolute-music/dblcore.js.git",654
"https://github.com/akclassic/crudmvc.git",68035
"https://github.com/amarpr/tugas_29_css.git",73642
"https://github.com/andrebit/ormbenchmark.git",8539
"https://github.com/ankitkumarr/adventofcodesolutions.git",526
"https://github.com/anushahiremath/user-job-application.git",15544
"https://github.com/arnaucube/coffeeminer.git",88
"https://github.com/arslan0510/node-api.git",1895
"https://github.com/artish1/yappapi.git",1654
"https://github.com/as5908/next-basic.git",96270
"https://github.com/ashikka/drumkit.git",110
"https://github.com/asunqingwen/meiduo.git",10638
"https://github.com/avdhesh03/vidly-movie-list-app-.git",475088
"https://github.com/backfood/-js-.git",13
"https://github.com/beryjay/account.git",62
"https://github.com/bhattcharyacodes/tr.git",327788
"https://github.com/bkrajinovic/react-table-app.git",15073
"https://github.com/bobzz-zone/documentmanager.git",1024
"https://github.com/bognole/doombot.git",192
"https://github.com/bvrsilva1/cropping_react-native.git",8776
"https://github.com/bydamar/firstportfolio.git",11834
"https://github.com/celesteyoung/birthday.git",600
"https://github.com/chenyangliuuu/wow2.git",387850
"https://github.com/chrisft25/whatsapp_twilio.git",888
"https://github.com/codekissvarna/controlpanel.git",674
"https://github.com/cudek/pegaz-user-friendly.git",148
"https://github.com/cyzcyzz/image_sync.git",704
"https://github.com/dallmoon/scriptsword.git",561
"https://github.com/dbd-random-perk/dbd-random-perk.github.io.git",483
"https://github.com/debz9/excise_department.git",1994
"https://github.com/derzyklop/angular.git",43577
"https://github.com/diiegosa/gostack-desafio-conceitos-react-native.git",843
"https://github.com/dkurzmann/coding-dojo.git",8625
"https://github.com/doudoufans/antddemo.git",509
"https://github.com/dsharath/identify-fraud-from-enron-email.git",588
"https://github.com/durbs664/quarantine.git",265494
"https://github.com/eliasj42/ui_demo_project.git",599
"https://github.com/elonlegan/paintleon.git",125
"https://github.com/encubedlabs/blogtemplate.git",20670
"https://github.com/facebookresearch/fadernetworks.git",1794
"https://github.com/facebookresearch/moco.git",1216
"https://github.com/federico-taborda/polygon-laps.git",204
"https://github.com/femelo22/jogodacobrinha.git",202
"https://github.com/foolwood/dasiamrpn.git",918
"https://github.com/footasker/foodtaskerapp.git",849
"https://github.com/fossasia/x-mario-center.git",95389
"https://github.com/francososa/glitchell.git",79
"https://github.com/frfahim/twitter-analyst.git",1082
"https://github.com/gargchirag/balloon-pop.git",173
"https://github.com/sudo-hemant/quizappreact.git",15535
"https://github.com/genesisyeshua/pup-dbms-m3-2.git",154
"https://github.com/gerywahyunugraha/bit-interview-prep.git",154
"https://github.com/gul-e-hasnain/js-assignment.git",833
"https://github.com/gustavocunhalacerda/estruturadedadospython.git",290
"https://github.com/halasa24/ptsgenapprod.git",409
"https://github.com/hardboyyy/chat-app.git",16400
"https://github.com/hdtyler/multi-docker.git",623
"https://github.com/hemakumarreddy/phantomjs-node.git",17996
"https://github.com/higor369/calculadora-react.git",14307
"https://github.com/hlp-pls/face-api-recordsound-capture.git",18720
"https://github.com/hoanthptvn/shopping.git",36891
"https://github.com/humayunirshad692727hl/ems.git",1435
"https://github.com/ibrahimkholil6210/chap-app-socket-io.git",807
"https://github.com/iridiumsoft/crypto-python.git",1821
"https://github.com/ironman12345678/pro-c24.git",75
"https://github.com/jerryliu12/cs185-nonreact.git",16283
"https://github.com/jiangyouxin/gae_uploader.git",38181
